text,label,language_mix
"Kuna rumors za supplementary, stress imepanda.",negative,uni-sheng
"Siku hizi naskia lonely hata nikiwa na watu.",negative,light-sheng

"Tuko base tu hostel, tunaangalia movie pole pole.",neutral,uni-sheng
"Niko CBD nikangoja mat, baridi imeingia kidogo.",neutral,light-sheng
"Kesho tuko exam, saa hii naorganize notes.",neutral,uni-sheng
"Lecture iko at eleven, saizi niko kwa library.",neutral,uni-sheng
"Leo sitoki, nitasettle tu kwa room niskize music.",neutral,light-sheng
"Jioni tutaenda stage tukamate mat ya home.",neutral,light-sheng
"Nilimeet mse wa high school, tukapiga story kidogo.",neutral,light-sheng
"Tuko group discussion, kila mtu anacheki question yake.",neutral,uni-sheng
"Hostel kitchen iko busy, wasee wanapika supper.",neutral,uni-sheng
"Kesho ni Friday, timetable iko light tu.",neutral,uni-sheng
"Nitaspend weekend home, tu kutulia na familia.",neutral,light-sheng
"Kesho tuko friendly match, tutaona vile itaenda.",neutral,uni-sheng
"Nimebook seat ya mat ya asubuhi, safari itaisha mapema.",neutral,light-sheng
"Leo class ilikuwa short, lec aliend early.",neutral,uni-sheng
"Ninaenda stage saa hii, traffic inaonekana normal.",neutral,light-sheng
"Niko kwa queue ya cafeteria, nangoja order yangu.",neutral,uni-sheng
"Tuna plan group meeting jioni, bado hatujachagua venue.",neutral,uni-sheng
"Nilicheki timetable, next week iko tight kidogo.",neutral,uni-sheng
"Ninapanga kufanya laundry kesho asubuhi.",neutral,light-sheng
"Leo nimebaki hostel the whole day, nothing special.",neutral,uni-sheng
"Niko kwa town nikitafuta notebook na pen.",neutral,light-sheng
"Hostel warden amepass tu kuangalia rooms.",neutral,uni-sheng
"Tulipata email ya new rules za library.",neutral,uni-sheng
"Jana tuliona eclipse kwa news tu, sio live.",neutral,light-sheng
"Kesho after class nitatoka tu nitembee campus.",neutral,uni-sheng
"Leo tumeenda chapel then tukarudi hostel straight.",neutral,uni-sheng
"Nimechange timetable, sasa class ya morning iko Tuesday.",neutral,uni-sheng
"Nilipita kwa cafeteria nikaangalia menu tu.",neutral,light-sheng
"Nimeupdate CV yangu na units mpya.",neutral,light-sheng
"Jana tulikaa lab tukasort data bila matata.",neutral,uni-sheng
"Niko ndani ya mat naskiza radio ya dere.",neutral,sheng-heavy
"Tulicheck highlights za game kwa phone ya boy wa room.",neutral,uni-sheng
"Nimeandika to do list ya wiki hii kwa diary.",neutral,light-sheng
"Hostel corridor leo iko quiet sana.",neutral,uni-sheng
"Nilipitia stage ya Madaraka before kuenda tao.",neutral,light-sheng
"Nimepeana laptop kwa fundi acheki keyboard.",neutral,light-sheng
"Leo nimevaa hoodie na jeans kawaida tu.",neutral,light-sheng
"Class tulipewa take home assignment badala ya test.",neutral,uni-sheng
"Nimekeep phone silent the whole lecture.",neutral,uni-sheng
"Tulicancel group meeting, kila mtu ako busy.",neutral,uni-sheng
"Nimebookmark video za revision kwa YouTube.",neutral,light-sheng
"Jana mvua ilinyesha usiku pekee, mchana ilikuwa clear.",neutral,light-sheng
"Nimeadd new playlist ya worship kwa Spotify.",neutral,light-sheng
"Nimeprint notes then nikaenda library kusoma kidogo.",neutral,uni-sheng
"Tuliongea na lec briefly kwa corridor about project.",neutral,uni-sheng

